geoid,name,story_scale_exclusion
1342425,"Johns Creek city, Georgia",Caregiver count MOE exceeds 50% of estimate
1342604,"Jonesboro city, Georgia",Denominator below story-scale threshold
1342772,"Juliette CDP, Georgia",Denominator below story-scale threshold
1342800,"Junction City town, Georgia",Denominator below story-scale threshold
1343192,"Kennesaw city, Georgia",Caregiver count MOE exceeds 50% of estimate
1343210,"Kennesaw State University CDP, Georgia",Denominator below story-scale threshold
1343360,"Keysville city, Georgia",Denominator below story-scale threshold
1343580,"Kings Bay Base CDP, Georgia",Denominator below story-scale threshold
1343640,"Kingsland city, Georgia",Percentage MOE exceeds 50% of estimate
1343668,"Kingston city, Georgia",Denominator below story-scale threshold
1343892,"Kite city, Georgia",Denominator below story-scale threshold
1344060,"Knoxville CDP, Georgia",Denominator below story-scale threshold
1344312,"LaFayette city, Georgia",Percentage MOE exceeds 50% of estimate
1344508,"Lake City city, Georgia",Percentage MOE exceeds 50% of estimate
1344592,"Lakeland city, Georgia",Percentage MOE exceeds 50% of estimate
1344704,"Lake Park city, Georgia",Denominator below story-scale threshold
1344900,"Lakeview CDP, Georgia",Denominator below story-scale threshold
1344956,"Lakeview Estates CDP, Georgia",Denominator below story-scale threshold
1345460,"Lavonia city, Georgia",Denominator below story-scale threshold
1345488,"Lawrenceville city, Georgia",Percentage MOE exceeds 50% of estimate
1345600,"Leary city, Georgia",Denominator below story-scale threshold
1345768,"Leesburg city, Georgia",Denominator below story-scale threshold
1345936,"Lenox town, Georgia",Denominator below story-scale threshold
1346020,"Leslie city, Georgia",Denominator below story-scale threshold
1346188,"Lexington city, Georgia",Denominator below story-scale threshold
1346356,"Lilburn city, Georgia",Percentage MOE exceeds 50% of estimate
1346384,"Lilly city, Georgia",Denominator below story-scale threshold
1346524,"Lincoln Park CDP, Georgia",Denominator below story-scale threshold
1346552,"Lincolnton city, Georgia",Denominator below story-scale threshold
1346580,"Lindale CDP, Georgia",Percentage MOE exceeds 50% of estimate
1346832,"Lithia Springs CDP, Georgia",Percentage MOE exceeds 50% of estimate
1346860,"Lithonia city, Georgia",Denominator below story-scale threshold
1347140,"Locust Grove city, Georgia",Caregiver count MOE exceeds 50% of estimate
1347196,"Loganville city, Georgia",Percentage MOE exceeds 50% of estimate
1347252,"Lone Oak town, Georgia",Denominator below story-scale threshold
1347336,"Lookout Mountain city, Georgia",Denominator below story-scale threshold
1347560,"Louisville city, Georgia",Denominator below story-scale threshold
1347616,"Lovejoy city, Georgia",Percentage MOE exceeds 50% of estimate
1347784,"Ludowici city, Georgia",Denominator below story-scale threshold
1347896,"Lula city, Georgia",Denominator below story-scale threshold
1347952,"Lumber City city, Georgia",Denominator below story-scale threshold
1347980,"Lumpkin city, Georgia",Denominator below story-scale threshold
1348008,"Luthersville city, Georgia",Denominator below story-scale threshold
1348092,"Lyerly town, Georgia",Denominator below story-scale threshold
1348232,"Lyons city, Georgia",Percentage MOE exceeds 50% of estimate
1348428,"McCaysville city, Georgia",Denominator below story-scale threshold
1348624,"McDonough city, Georgia",Percentage MOE exceeds 50% of estimate
1348848,"McIntyre town, Georgia",Denominator below story-scale threshold
1349100,"McRae-Helena city, Georgia",Percentage MOE exceeds 50% of estimate
1349196,"Madison city, Georgia",Denominator below story-scale threshold
1349504,"Manassas city, Georgia",Denominator below story-scale threshold
1349532,"Manchester city, Georgia",Percentage MOE exceeds 50% of estimate
1349588,"Manor CDP, Georgia",Denominator below story-scale threshold
1349616,"Mansfield city, Georgia",Denominator below story-scale threshold
1349924,"Marshallville city, Georgia",Denominator below story-scale threshold
1350008,"Martin town, Georgia",Denominator below story-scale threshold
