geoid,name,pct_responsible_exclusion
06103,"Tehama County, California",Retained
28067,"Jones County, Mississippi",Retained
37159,"Rowan County, North Carolina",Retained
42063,"Indiana County, Pennsylvania",Retained
37155,"Robeson County, North Carolina",Retained
21049,"Clark County, Kentucky",Retained
17121,"Marion County, Illinois",Retained
37125,"Moore County, North Carolina",Retained
55041,"Forest County, Wisconsin",Retained
37117,"Martin County, North Carolina",Retained
18163,"Vanderburgh County, Indiana",Retained
47113,"Madison County, Tennessee",Retained
17129,"Menard County, Illinois",Retained
22105,"Tangipahoa Parish, Louisiana",Retained
39029,"Columbiana County, Ohio",Retained
48361,"Orange County, Texas",Retained
45047,"Greenwood County, South Carolina",Retained
27051,"Grant County, Minnesota",Retained
29055,"Crawford County, Missouri",Retained
13001,"Appling County, Georgia",Retained
41059,"Umatilla County, Oregon",Retained
47073,"Hawkins County, Tennessee",Retained
36063,"Niagara County, New York",Retained
13055,"Chattooga County, Georgia",Retained
01073,"Jefferson County, Alabama",Retained
26011,"Arenac County, Michigan",Retained
37129,"New Hanover County, North Carolina",Retained
47025,"Claiborne County, Tennessee",Retained
18107,"Montgomery County, Indiana",Retained
38017,"Cass County, North Dakota",Retained
13285,"Troup County, Georgia",Retained
47047,"Fayette County, Tennessee",Retained
28049,"Hinds County, Mississippi",Retained
28073,"Lamar County, Mississippi",Retained
37195,"Wilson County, North Carolina",Retained
45077,"Pickens County, South Carolina",Retained
01109,"Pike County, Alabama",Retained
19071,"Fremont County, Iowa",Retained
45075,"Orangeburg County, South Carolina",Retained
48225,"Houston County, Texas",Retained
27021,"Cass County, Minnesota",Retained
37163,"Sampson County, North Carolina",Retained
21163,"Meade County, Kentucky",Retained
47125,"Montgomery County, Tennessee",Retained
45087,"Union County, South Carolina",Retained
29167,"Polk County, Missouri",Retained
30111,"Yellowstone County, Montana",Retained
13199,"Meriwether County, Georgia",Retained
45089,"Williamsburg County, South Carolina",Retained
48041,"Brazos County, Texas",Retained
42021,"Cambria County, Pennsylvania",Retained
37061,"Duplin County, North Carolina",Retained
27029,"Clearwater County, Minnesota",Retained
13295,"Walker County, Georgia",Retained
48381,"Randall County, Texas",Retained
36035,"Fulton County, New York",Retained
21067,"Fayette County, Kentucky",Retained
37175,"Transylvania County, North Carolina",Retained
02188,"Northwest Arctic Borough, Alaska",Retained
13017,"Ben Hill County, Georgia",Retained
47167,"Tipton County, Tennessee",Retained
01021,"Chilton County, Alabama",Retained
29131,"Miller County, Missouri",Retained
05031,"Craighead County, Arkansas",Retained
22095,"St. John the Baptist Parish, Louisiana",Retained
05037,"Cross County, Arkansas",Retained
37027,"Caldwell County, North Carolina",Retained
35035,"Otero County, New Mexico",Retained
37045,"Cleveland County, North Carolina",Retained
27097,"Morrison County, Minnesota",Retained
39025,"Clermont County, Ohio",Retained
13213,"Murray County, Georgia",Retained
13179,"Liberty County, Georgia",Retained
40149,"Washita County, Oklahoma",Retained
22017,"Caddo Parish, Louisiana",Retained
47107,"McMinn County, Tennessee",Retained
39113,"Montgomery County, Ohio",Retained
21059,"Daviess County, Kentucky",Retained
18095,"Madison County, Indiana",Retained
18113,"Noble County, Indiana",Retained
40111,"Okmulgee County, Oklahoma",Retained
21009,"Barren County, Kentucky",Retained
13047,"Catoosa County, Georgia",Retained
48303,"Lubbock County, Texas",Retained
40089,"McCurtain County, Oklahoma",Retained
48457,"Tyler County, Texas",Retained
17001,"Adams County, Illinois",Retained
20177,"Shawnee County, Kansas",Retained
45063,"Lexington County, South Carolina",Retained
01071,"Jackson County, Alabama",Retained
40115,"Ottawa County, Oklahoma",Retained
01101,"Montgomery County, Alabama",Retained
17077,"Jackson County, Illinois",Retained
37087,"Haywood County, North Carolina",Retained
47061,"Grundy County, Tennessee",Retained
48309,"McLennan County, Texas",Retained
45085,"Sumter County, South Carolina",Retained
18177,"Wayne County, Indiana",Retained
30015,"Chouteau County, Montana",Retained
08071,"Las Animas County, Colorado",Retained
36025,"Delaware County, New York",Retained
22055,"Lafayette Parish, Louisiana",Retained
35015,"Eddy County, New Mexico",Retained
12075,"Levy County, Florida",Retained
01069,"Houston County, Alabama",Retained
21015,"Boone County, Kentucky",Retained
21121,"Knox County, Kentucky",Retained
05071,"Johnson County, Arkansas",Retained
27005,"Becker County, Minnesota",Retained
45031,"Darlington County, South Carolina",Retained
27027,"Clay County, Minnesota",Retained
28027,"Coahoma County, Mississippi",Retained
05057,"Hempstead County, Arkansas",Retained
42073,"Lawrence County, Pennsylvania",Retained
17143,"Peoria County, Illinois",Retained
13215,"Muscogee County, Georgia",Retained
18065,"Henry County, Indiana",Retained
48035,"Bosque County, Texas",Retained
22049,"Jackson Parish, Louisiana",Retained
28133,"Sunflower County, Mississippi",Retained
01087,"Macon County, Alabama",Retained
47159,"Smith County, Tennessee",Retained
